id;name;sex;date of birth;date of death;type of death;power;relation to murder
pakr;Patricia Krenwinkel;2;03.12.1947;99;1;3;3
papo;Paul Richard Polanski;1;09.08.1969;09.08.1969;3;1;1
pawa;Paul Watkins;1;25.01.1950;03.08.1990;2;3;99
pawa;Paul Alan Watkins;1;25.01.1950;03.08.1990;2;4;99
phfo;Phillippe Forquet;1;99;99;99;99;1
ribe;Richard Beymer;1;99;99;99;99;99
robe;"Robert Kenneth ""Bobby"" Beusoleil";1;06.11.1947;99;1;3;3
rohe;Robert A. Heinlein;1;07.07.1907;09.05.1988;2;5;1
rohu;Ronald Hughes;1;16.03.1935;01.01.1970;3;1;1
rola;Rosemary LaBianca;2;15.12.1929;10.08.1969;3;2;1
romo;Roger Moore de Gimston;1;99;99;99;1;1
ropo;Roman Polanski;1;18.08.1933;99;1;4;1
rosm;Roger Smith;1;99;99;99;2;1
rowi;Rosalie Jean Willis;2;28.01.1937;01.01.2009;2;1;1
sago;Sandra Good;2;20.02.1944;99;1;2;1
shco;Sherry Ann Cooper;2;99;99;99;99;99
shta;Sharon Tate;2;24.01.1943;09.08.1969;3;3;1
shwe;Sheilah Wells;2;99;99;99;99;99
stbo;Stephane Bourgoin;1;14.03.1953;99;1;1;1
stgr;"Steve ""Clem"" Grogan";1;24.05.1952;99;1;3;3
stmc;Steve McQueen;1;24.03.1930;07.11.1980;2;1;1
stpa;Steven Parent;1;12.02.1951;09.08.1969;3;1;1
suat;Susan Atkins;2;07.05.1948;24.09.2009;2;4;3
teme;Terry Melcher;1;08.02.1942;19.11.2004;2;1;1
vama;Valentine Michael Manson;1;15.04.1968;99;1;1;1
vihe;Verginia Heinlein;1;22.04.1916;18.01.2003;99;1;1
vibu;Vincent Bugliosi;2;18.08.1934;06.06.2015;2;1;99
waev;Dr. Wayne O. Evans;1;99;99;99;1;1
wich;Winifried Chapman;2;99;99;99;1;1
wiga;William Garretson;1;99;99;99;99;99
wima;William Eugene Manson;1;99;99;99;99;99
wofr;Wojciech Frykowski;1;22.12.1936;09.08.1969;3;2;1
WV;Gefängnis West Virgina;99;99;99;99;99;99
PB;Gefängnis Petersburg;99;99;99;99;99;99
CC;Gefängnis Chillicothe;99;99;99;99;99;99
MI;Bundesgefängnis McMeil Island;99;99;99;99;99;99
GF5;Gefängnis5;99;99;99;99;99;99
SR;Spahn Ranch;99;99;99;99;99;99
BR;Barker Ranch;99;99;99;99;99;99
CD;Cielo Drive;99;99;99;99;99;99
CA;Clubhouse Avenue;99;99;99;99;99;99
EC;El Coyote Cafe;99;99;99;99;99;99
FA;Franklin Avenue;99;99;99;99;99;99
GS;Gresham Street;99;99;99;99;99;99
HH;Hinman House;99;99;99;99;99;99
MC;Manson Cave;99;99;99;99;99;99
MR;Myers Ranch;99;99;99;99;99;99
WD;Waverly Drive;99;99;99;99;99;99
WH;Wilson Home;99;99;99;99;99;99
CW;Gefängnis California Institution for Women;99;99;99;99;99;99
GL;Gerichtshof LA;99;99;99;99;99;99
HA;Haight Ashbury Klinik;99;99;99;99;99;99
SH;Spiral Staicase Haus San Francisco;99;99;99;99;99;99
